l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles
32kB,32kB,256kB,16,42130207
32kB,32kB,256kB,32,41896021
32kB,32kB,512kB,2,42497930
32kB,32kB,512kB,4,42291171
32kB,32kB,512kB,8,42140399
32kB,32kB,512kB,16,42094472
32kB,32kB,512kB,32,41895278
32kB,32kB,1024kB,2,42513984
32kB,32kB,1024kB,4,42299943
32kB,32kB,1024kB,8,42167801
32kB,32kB,1024kB,16,42124355
32kB,32kB,1024kB,32,41922887
64kB,32kB,128kB,2,42710927
64kB,32kB,128kB,4,42503391
64kB,32kB,128kB,8,42335194
64kB,32kB,128kB,16,42284020
64kB,32kB,128kB,32,42168658
64kB,32kB,256kB,2,42521631
64kB,32kB,256kB,4,42298520
64kB,32kB,256kB,8,42166210
64kB,32kB,256kB,16,42114490
64kB,32kB,256kB,32,41892206
64kB,32kB,512kB,2,42501185
64kB,32kB,512kB,4,42276358
64kB,32kB,512kB,8,42185159
64kB,32kB,512kB,16,42097706
64kB,32kB,512kB,32,41889106
64kB,32kB,1024kB,2,42518939
64kB,32kB,1024kB,4,42297091
64kB,32kB,1024kB,8,42155500
64kB,32kB,1024kB,16,42120273
64kB,32kB,1024kB,32,41929550
2kB,64kB,128kB,2,59997631
2kB,64kB,128kB,4,59804226
2kB,64kB,128kB,8,59647485
2kB,64kB,128kB,16,59553774
2kB,64kB,128kB,32,59405411
2kB,64kB,256kB,2,59982058
2kB,64kB,256kB,4,59791092
2kB,64kB,256kB,8,59639059
2kB,64kB,256kB,16,59542031
2kB,64kB,256kB,32,59395568
2kB,64kB,512kB,2,59974957
2kB,64kB,512kB,4,59787521
2kB,64kB,512kB,8,59630457
2kB,64kB,512kB,16,59548308
2kB,64kB,512kB,32,59375705
2kB,64kB,1024kB,2,59973151
2kB,64kB,1024kB,4,59785352
2kB,64kB,1024kB,8,59642557
2kB,64kB,1024kB,16,59568205
2kB,64kB,1024kB,32,59378872
4kB,64kB,128kB,2,59898803
4kB,64kB,128kB,4,59706024
4kB,64kB,128kB,8,59542373
4kB,64kB,128kB,16,59453062
4kB,64kB,128kB,32,59261516
4kB,64kB,256kB,2,59877851
4kB,64kB,256kB,4,59673770
4kB,64kB,256kB,8,59523963
4kB,64kB,256kB,16,59437865
4kB,64kB,256kB,32,59252129
4kB,64kB,512kB,2,59849831
4kB,64kB,512kB,4,59656040
4kB,64kB,512kB,8,59510895
4kB,64kB,512kB,16,59424360
4kB,64kB,512kB,32,59242813
4kB,64kB,1024kB,2,59840372
4kB,64kB,1024kB,4,59654433
4kB,64kB,1024kB,8,59509672
4kB,64kB,1024kB,16,59437802
4kB,64kB,1024kB,32,59258378
8kB,64kB,128kB,2,59804661
8kB,64kB,128kB,4,59612273
8kB,64kB,128kB,8,59454496
8kB,64kB,128kB,16,59360542
8kB,64kB,128kB,32,59223837
8kB,64kB,256kB,2,59787510
8kB,64kB,256kB,4,59585931
8kB,64kB,256kB,8,59444684
8kB,64kB,256kB,16,59349533
8kB,64kB,256kB,32,59213047
8kB,64kB,512kB,2,59764182
8kB,64kB,512kB,4,59572460
8kB,64kB,512kB,8,59424255
8kB,64kB,512kB,16,59337174
8kB,64kB,512kB,32,59202589
8kB,64kB,1024kB,2,59767285
8kB,64kB,1024kB,4,59584561
8kB,64kB,1024kB,8,59441675
8kB,64kB,1024kB,16,59356659
8kB,64kB,1024kB,32,59224785
16kB,64kB,128kB,2,42898440
16kB,64kB,128kB,4,42686619
16kB,64kB,128kB,8,42519716
16kB,64kB,128kB,16,42446004
16kB,64kB,128kB,32,42295389
16kB,64kB,256kB,2,42886543
16kB,64kB,256kB,4,42673325
16kB,64kB,256kB,8,42505881
16kB,64kB,256kB,16,42433391
16kB,64kB,256kB,32,42320564
16kB,64kB,512kB,2,42868882
16kB,64kB,512kB,4,42651978
16kB,64kB,512kB,8,42487429
16kB,64kB,512kB,16,42417790
16kB,64kB,512kB,32,42312334
16kB,64kB,1024kB,2,42883054
16kB,64kB,1024kB,4,42647472
16kB,64kB,1024kB,8,42498566
16kB,64kB,1024kB,16,42455927
16kB,64kB,1024kB,32,42314001
32kB,64kB,128kB,2,42530041
32kB,64kB,128kB,4,42304050
32kB,64kB,128kB,8,42175717
32kB,64kB,128kB,16,42141704
32kB,64kB,128kB,32,41906936
32kB,64kB,256kB,2,42517909
32kB,64kB,256kB,4,42291058
32kB,64kB,256kB,8,42162957
32kB,64kB,256kB,16,42121726
32kB,64kB,256kB,32,41900198
32kB,64kB,512kB,2,42503047
32kB,64kB,512kB,4,42274310
32kB,64kB,512kB,8,42143120
32kB,64kB,512kB,16,42098491
32kB,64kB,512kB,32,41891364
32kB,64kB,1024kB,2,42522787
32kB,64kB,1024kB,4,42297969
32kB,64kB,1024kB,8,42158653
32kB,64kB,1024kB,16,42131129
32kB,64kB,1024kB,32,41924443
64kB,64kB,128kB,2,42710916
64kB,64kB,128kB,4,42500710
64kB,64kB,128kB,8,42330229
64kB,64kB,128kB,16,42281151
64kB,64kB,128kB,32,42166002
64kB,64kB,256kB,2,42521104
64kB,64kB,256kB,4,42294656
64kB,64kB,256kB,8,42212410
64kB,64kB,256kB,16,42124966
64kB,64kB,256kB,32,41897744
64kB,64kB,512kB,2,42492520
64kB,64kB,512kB,4,42267700
64kB,64kB,512kB,8,42134251
64kB,64kB,512kB,16,42087302
64kB,64kB,512kB,32,41888238
64kB,64kB,1024kB,2,42521120
64kB,64kB,1024kB,4,42313859
64kB,64kB,1024kB,8,42155500
64kB,64kB,1024kB,16,42120130
64kB,64kB,1024kB,32,41917943
