L1D_cache_size,L1I_cache_size,L2_cache_size,unrolling_factor,number of cycles,L1I_KB,L1D_KB,L2_KB,total_Memory_KB,exec_time_cc
4kB,16kB,1024kB,8,59511228,16,4,1024,1044,59511228
4kB,16kB,1024kB,16,59439222,16,4,1024,1044,59439222
4kB,16kB,1024kB,32,59268111,16,4,1024,1044,59268111
8kB,16kB,128kB,2,59811215,16,8,128,152,59811215
8kB,16kB,128kB,4,59617962,16,8,128,152,59617962
8kB,16kB,128kB,8,59461494,16,8,128,152,59461494
8kB,16kB,128kB,16,59366412,16,8,128,152,59366412
8kB,16kB,128kB,32,59228140,16,8,128,152,59228140
8kB,16kB,256kB,2,59794203,16,8,256,280,59794203
8kB,16kB,256kB,4,59591317,16,8,256,280,59591317
8kB,16kB,256kB,8,59445914,16,8,256,280,59445914
8kB,16kB,256kB,16,59353858,16,8,256,280,59353858
8kB,16kB,256kB,32,59217371,16,8,256,280,59217371
8kB,16kB,512kB,2,59768608,16,8,512,536,59768608
8kB,16kB,512kB,4,59586082,16,8,512,536,59586082
8kB,16kB,512kB,8,59428964,16,8,512,536,59428964
8kB,16kB,512kB,16,59342646,16,8,512,536,59342646
8kB,16kB,512kB,32,59208602,16,8,512,536,59208602
8kB,16kB,1024kB,2,59776394,16,8,1024,1048,59776394
8kB,16kB,1024kB,4,59592412,16,8,1024,1048,59592412
8kB,16kB,1024kB,8,59447661,16,8,1024,1048,59447661
8kB,16kB,1024kB,16,59371970,16,8,1024,1048,59371970
8kB,16kB,1024kB,32,59235384,16,8,1024,1048,59235384
16kB,16kB,128kB,2,42903590,16,16,128,160,42903590
16kB,16kB,128kB,4,42691594,16,16,128,160,42691594
16kB,16kB,128kB,8,42525130,16,16,128,160,42525130
16kB,16kB,128kB,16,42452179,16,16,128,160,42452179
16kB,16kB,128kB,32,42300132,16,16,128,160,42300132
16kB,16kB,256kB,2,42888018,16,16,256,288,42888018
16kB,16kB,256kB,4,42674657,16,16,256,288,42674657
16kB,16kB,256kB,8,42507319,16,16,256,288,42507319
16kB,16kB,256kB,16,42434682,16,16,256,288,42434682
16kB,16kB,256kB,32,42286086,16,16,256,288,42286086
16kB,16kB,512kB,2,42873431,16,16,512,544,42873431
16kB,16kB,512kB,4,42655754,16,16,512,544,42655754
16kB,16kB,512kB,8,42493767,16,16,512,544,42493767
16kB,16kB,512kB,16,42436606,16,16,512,544,42436606
16kB,16kB,512kB,32,42314262,16,16,512,544,42314262
16kB,16kB,1024kB,2,42885725,16,16,1024,1056,42885725
16kB,16kB,1024kB,4,42683820,16,16,1024,1056,42683820
16kB,16kB,1024kB,8,42505658,16,16,1024,1056,42505658
16kB,16kB,1024kB,16,42493506,16,16,1024,1056,42493506
16kB,16kB,1024kB,32,42314316,16,16,1024,1056,42314316
